code,course,university,stream,colombo,gampaha,kaluthara,matale,kandy,nuwara_eliya,galle,matara,hambantota,jaffna,kilinochchi,mannar,mallaitivu,vavuniya,trincomalee,batticaloa,ampara,puttalam,kurunegala,anuradhapura,polonnaruwa,badulla,monaragala,kegalle,ratnapura,course_code,uni_code,subjects,medium,degree,duration
124P,INDIGENOUS PHARMACEUTICAL TECHNOLOGY,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,0.9466,0.9178,1.0245,1.0744,1.0075,0.9056,1.0697,1.0414,1.0718,0.883,0.3824,0.5593,0.176,0.4647,1.0052,0.9603,0.9679,0.8768,1.0262,1.0272,0.7949,1.0213,0.9306,1.0581,1.0504,124,P,chemistry|physics|biology|agricultural_science,english,Bachelor of Health Science Honours in Indigenous Pharmaceutical Technology,4
125P,YOGA AND PARAPSYCHOLOGY,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,1.2785,1.2975,1.2915,1.3558,1.3068,1.2986,1.3226,1.3215,1.3324,1.3614,1.1628,1.1913,1.2043,1.2843,1.2515,1.2647,1.2953,1.2583,1.2971,1.2986,1.3022,1.2856,1.3388,1.3629,1.2912,125,P,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Yoga and Parapsychology,4
126P,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,none,1.299,1.2883,1.3136,1.3438,1.3095,1.3702,1.3197,1.3066,1.3654,1.1541,1.1533,1.2976,1.2137,1.3591,1.3406,1.3191,1.3065,1.3213,1.3224,1.2978,1.2936,1.3231,1.3601,1.383,1.2923,126,P,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Social Studies in Indigenous Knowledge,4
050K,HEALTH PROMOTION,rajarata_university_of_sri_lanka,biological_science,0.6659,0.5843,0.7788,0.6942,0.7658,0.7001,0.8239,0.8146,0.8416,0.7017,0.583,0.4528,0.3254,0.6635,0.8628,0.7823,0.7841,0.5992,0.8286,0.6627,0.824,0.7859,0.7866,0.86,0.7509,50,K,biology|chemistry|agricultural_science|higher_mathematics|mathematics|combined_mathematics|physics,english,Bachelor of Science in Health Promotion|Bachelor of Science Honours in Health Promotion,3|4
037A,NURSING,university_of_colombo,biological_science,1.2341,1.2322,1.2524,1.3117,1.2471,1.2337,1.233,1.2294,1.228,1.2844,1.331,1.3265,1.4158,1.2359,1.252,1.242,1.293,1.2634,1.2525,1.277,1.2667,1.2342,1.2356,1.2371,1.2344,37,A,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
037B,NURSING,university_of_peradeniya,biological_science,1.2282,1.2416,1.2228,1.2721,1.2453,NQC,1.2419,1.2388,1.2869,1.2255,1.2276,1.2758,NQC,NQC,1.252,NQC,1.2451,1.3085,1.2267,1.2628,NQC,NQC,1.2225,1.2457,1.2254,37,B,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
037C,NURSING,university_of_sri_jayewardenepura,biological_science,1.1963,1.1842,1.1926,1.2413,1.181,1.2005,1.1864,1.1819,1.1877,1.1816,1.2021,NQC,1.1865,NQC,1.1836,1.1815,1.1842,NQC,1.1809,1.184,1.1838,1.1892,NQC,1.2074,1.1802,37,C,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
037E,NURSING,university_of_jaffna,biological_science,0.9468,0.9404,1.0685,0.9767,0.9418,1.0157,1.1608,NQC,1.0495,1.0287,0.9571,1.1663,NQC,1.0504,1.0292,1.0342,1.0176,0.939,0.9362,0.9625,1.0261,1.019,NQC,1.0113,1.0107,37,E,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
037F,NURSING,university_of_ruhuna,biological_science,0.9425,0.9422,1.0104,NQC,0.9439,0.976,1.1189,1.0847,1.039,NQC,NQC,1.1563,1.1268,NQC,1.0773,1.0443,1.0893,0.9528,0.9573,0.9515,0.9609,1.0013,1.0422,1.0104,0.9979,37,F,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
037H,NURSING,eastern_university_sri_lanka,biological_science,0.7886,0.7844,NQC,0.8486,0.8793,0.8733,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.0276,1.2528,1.0502,0.8978,0.9134,NQC,NQC,NQC,NQC,NQC,NQC,37,H,biology|chemistry|physics,english,Bachelor of Science in Nursing,4
